9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
8792,using a handwritten form of notes-taking is sometimes hard to read on the computer screen.,n,,,,n   ,write and draw,,,,N   ,Clarity of delivery,write and draw,,,,,,,,,,,,,,,,write and draw,,,,,,,,
8793,"The contents taught are quite comprehensive. However, online assessment could only resort to open book options, which lecturer inevitably had to make tests more difficult. Many students reflected that the mid-term test was a little too difficult for majority of students.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8794,Better network and use a better mic,s,s,,,s s  ,network connection,equipment,,,S S  ,IT-related,"network connection, equipment",,,,,,,,,,,,,,,,,,,,"network connection, equipment",,,,
8795,No.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8796,"1. Always delay in Tutorial.  It should ends at 13:15 on Mondays, but it always ends AFTER 13:30, which affects the next lesson.2. When online teaching started, the project was cancelled but the exam contributes 75% of the final grade. It is obviously too high. But the teaching team only agreed to change to 65% which is still a high level.",f,p,,,f p  ,time control,assessment,,,F P  ,"Class planning, Assessment","time control, assessment",,,,,,,time control,,,,,,,,,,,,assessment,,,,,
8797,授課內容比較難，只播以往的上課片，缺乏即時互動，難以立刻解決疑問。加上TAs只選擇性地回應blackboard discussion平台的問題，難以解決確實疑問。缺乏live 課堂，一次過上載所有課堂片段，亦減少上課的自律性。,j,g,g,,j g g ,material accessibility,interaction,Q&A,,J G G ,"Interaction, Course material","interaction, Q&A, material accessibility",,,,,,,,,,,"interaction, Q&A",,material accessibility,,,,,,,,,,,
8798,really a lot.teacher only upload recordings which are previous years and which are for postgraduate students. and the recordings are very unclear and difficult to get to the point.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8799,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8800,課堂錄音的聲音時大時小，難以太清楚，要重複播放才聽到,k,n,,,k n  ,lecture recordings,audio quality,,,K N  ,"Recording, Clarity of delivery","lecture recordings, audio quality",,,,,,,,,,,,,,lecture recordings,,audio quality,,,,,,,,
8801,The quality of panopto is fair. Sometimes it is hard to listen because he is not speaking into the mic.,n,,,,n   ,audio quality,,,,N   ,Clarity of delivery,audio quality,,,,,,,,,,,,,,,,audio quality,,,,,,,,
8802,"Very important point: THE QUALITY OF VIDEO IS POOR! As the videos uploaded are lecture recording in the previous years, it is so difficult to hear what YU is saying. He speaks so soft sometimes and suddenly speaks up. The videos are not smooth, it will stop suddenly and could not continue until I skip that second. As it is originally a lecture recording, I don't know what he is referring to when he says ""this"". For example, I don't know which part of the brain he is referring to. I could not see the mouse pointer in panopto video.",x,r,,,x r  ,Videoplay issue,lecturer,,,X R  ,"On intructor, Videoplay issue","lecturer, Videoplay issue",,,,,,,,,,,,,,,,,,lecturer,,,Videoplay issue,,,
8803,"Voice recording of online video can be clearer. I don’t figure out what teacher is say sometimes.Screen recording should include location of mouse. This is the most important. Since I always don’t what is the ‘this’ and ‘that’ referring to, but this is a critical issue. If this and that is reversed, what I learned is completely the opposite of truth.",k,n,,,k n  ,lecture recordings,clearer/ detailed explanation,,,K N  ,"Recording, Clarity of delivery","lecture recordings, clearer/ detailed explanation",,,,,,,,,,,,,,lecture recordings,,clearer/ detailed explanation,,,,,,,,
8804,Sound quality of lecture recording is poor. It is often hard to catch what professor is talking even with the loudest volume.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8805,"- Some of the lectures have bad audio quality. - Some of the lectures last for almost 2 hours, which exceed the time limit for normal lecture. (More to learn)- For graphs and pictures, all I can hear is ""this this this and there"", with no indication in the video.",n,n,f,,n n f ,write and draw,audio quality,too long,,N N F ,"Class planning, Clarity of delivery","too long, write and draw, audio quality",,,,,,,too long,,,,,,,,,"write and draw, audio quality",,,,,,,,
8806,less demanding assessment methods,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8807,以往年度的錄音不清晰，很難聼清楚,n,,,,n   ,audio quality,,,,N   ,Clarity of delivery,audio quality,,,,,,,,,,,,,,,,audio quality,,,,,,,,
8808,"because we need to the location of brain areas, it is better when the teacher saying this and that with laser pointing or arrow pointing to clearly know which part he is referring to also, louder and clear voice in recording is suggested",n,,,,n   ,louder,,,,N   ,Clarity of delivery,louder,,,,,,,,,,,,,,,,louder,,,,,,,,
8809,Panopto is bad and sometimes cannot load the teaching video. I spent a large amount of time to load the video.,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
8810,希望能在綫同步教學。播放以前的課堂錄像有時會出現音質模糊，錄像內容與現用ppt不合拍，問題無法及時提出等情況。,u,,,,u   ,live lectures,,,,U   ,Course,live lectures,,,,,,,,live lectures,,,,,,,,,,,,,,,,
8811,Wish can have face to face sessions with the professor,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
8812,Should better use zoom rather than panopto to facilitate our learning,y,,,,y   ,choice of platform,,,,Y   ,Choice of platform,choice of platform,,,,,,,,,,,,,,,,,,,,,,choice of platform,,
8813,Nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8814,Can use panopto instead of website or separate recordings for each slide. And it would be much more better if the lecture slides and recordings are published on time.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8815,should use panoptos instead of websites.the powerpoints can be organised in a more clear manner.,j,,,,j   ,course materials - PPT,,,,J   ,Course material,course materials - PPT,,,,,,,,,,,,,course materials - PPT,,,,,,,,,,,
8816,"As the professor didn’t use zoom for online teaching, some questions about the lecture couldn’t be raised immediately, which results in a huge lack of interaction.",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8817,Other courses would have tutorial sessions via ZOOM where students can ask questions about the taught material. This was not present in this course.,u,,,,u   ,tutorial,,,,U   ,Course,tutorial,,,,,,,,tutorial,,,,,,,,,,,,,,,,
8818,"Powerpoint slide can state the mainpoint of the content, not just the figure presented in the textbook. To be honest, it is difficult for me to understand and digest the content using the approach adopted in this semester.",j,,,,j   ,course materials - PPT,,,,J   ,Course material,course materials - PPT,,,,,,,,,,,,,course materials - PPT,,,,,,,,,,,
8819,"Internet problem, I don't like using Blackboard's panopto function because it lags all the time",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8820,"Course assessment ways should be refined, now that students aren't able to attend actual classes, having peer evaluation taking up 20% of the grade is unreasonable.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
8821,I felt that the teacher should have done zoom classes rather than panopto videos as they were less engaging.,y,,,,y   ,choice of platform,,,,Y   ,Choice of platform,choice of platform,,,,,,,,,,,,,,,,,,,,,,choice of platform,,
8822,should use zoom instead of just posting online videos,y,,,,y   ,choice of platform,,,,Y   ,Choice of platform,choice of platform,,,,,,,,,,,,,,,,,,,,,,choice of platform,,
8823,better use zoom than panotope video to ensure student have attend the lecture weekly,y,,,,y   ,choice of platform,,,,Y   ,Choice of platform,choice of platform,,,,,,,,,,,,,,,,,,,,,,choice of platform,,
8824,Do not use the method of short question quiz,p,,,,p   ,quiz/ test,,,,P   ,Assessment,quiz/ test,,,,,,,,,,,,,,,,,,,quiz/ test,,,,,
8825,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
8826,"i hope that the teacher can record the lecture and videos, so students can revise.",k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8827,"the instructor record all the online classes but she never release the recording on blackboard or let students to assess it. So, what is the point to record the lecture?Also sometimes is laggy during the lecture, but the instructor did not solve the problem but only dismiss the meeting and start it again. It is useless because the problem is the wifi connection of the instructor side but not the problem of the server of zoom and the students. Meanwhile, the instructor choose not to repeat the content that she taught during the laggy time, i don’t know what is the point to not to repeat the content that all the students missed immediately. The instructor choose to let student to ask the missed content after the lecture time in the chat room, there is one problem that some students may have lesson afterward, like me, dose this imply that students have lesson afterward do not have the right to learn the content?",x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
8828,"The lecturer ignores students when we try to let her know that her own connection is problematic, while the lecturer is unwilling to either pre-record, or fix her own network issues, causing our zoom lecture to cut-off very frequently. I guess online lectures could only work for lecturers who are willing to look into and evaluate new systems.",s,r,,,s r  ,network connection,lecturer,,,S R  ,"On intructor, IT-related","lecturer, network connection",,,,,,,,,,,,,,,,,,lecturer,,network connection,,,,
8829,Sometimes the lecture is quite laggy,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
8830,"Dr Fung really should be more serious in teaching, and care more about students’ needs. I do think that ZOOM somehow made Dr Fung less accountable for her teaching performance.",r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
8831,- She can upload ZOOM recording to facilitate everyone's learning,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8832,Lecture can be recorded to solve the connection problem as sometimes it is hardly to listen what the teacher said.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8833,professor網絡不穩定professor經常無視學生提問,s,g,,,s g  ,internet/ wifi,feedback,,,S G  ,"Interaction, IT-related","feedback, internet/ wifi",,,,,,,,,,,feedback,,,,,,,,,internet/ wifi,,,,
8834,Teacher seldom respond to students’ questions in live chat or ignore questions.Teacher refused to provide recordings for students even having technical problems or time differences.,k,g,,,k g  ,lecture recordings - include chats,communication,,,K G  ,"Interaction, Recording","communication, lecture recordings - include chats",,,,,,,,,,,communication,,,lecture recordings - include chats,,,,,,,,,,
8835,Zoom security,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
8836,"I think this course has a lot of interaction, but using online teaching limit a lot of interaction between course mates and TA and lecturerI believe this course will be more fun and interesting in offline",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
8837,More training to lectures to reduce technical issues,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
8838,Internet quality may be a concern for some students. The lack of face-to-face and non-verbal interaction makes it harder to simulate a therapy session.,s,g,,,s g  ,internet/ wifi,interaction,,,S G  ,"Interaction, IT-related","interaction, internet/ wifi",,,,,,,,,,,interaction,,,,,,,,,internet/ wifi,,,,
8839,might be disturbed by external environment,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
8840,"better smooth of lecture, e.g., switching between YouTube video and ppt.lecture recording can be uploader earlier after the end of lecture.",Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
8841,"The professor should spend less time giving useless blabbers and spend more effort on trying to deliver lectures that actually has logic.Copying lecture slides straight from Pearson just shows her lack of enthusiasm in teaching, especially when she take out slides. Such action ruins the logic of the lecture.It would also be better if the professor at least tried to end the lecture on time.",r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
8842,zoom這軟件特別卡,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
8843,sometimes internet connection is sucks break out room no one talks,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
8844,Quality of the video,j,,,,j   ,videos - quality,,,,J   ,Course material,videos - quality,,,,,,,,,,,,,videos - quality,,,,,,,,,,,
8845,it will be good if we can have live Q&A session per lesson,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
8846,"In this course, the professor resorted to uploading the lecture videos of the last year as a replacement for all the remaining lectures. While uploading quality videos to the Panopto system might be beneficial for the learning, actually the uploaded videos are of poor quality, with constant lagging when the videos are being played.Actually the professor and the course tutor have been reflected the existence of the problem in the very early stage, teaching mode should immediately resort to Zoom real-time online teaching in order to have a SMOOTH learning (Actually for many other depts at CUHK, they all use REAL-TIME teaching, for example, the Master of Social Work and Master of Clinical Pharmacy). However, the professor insisted that the Zoom platform should still be used only for Q&A session, which definitely does no good to the poor quality of the uploaded lecture video. The Zoom platform should have been used to conduct real-time online teaching, instead of exploiting the platform to answer tons of questions, which students are somehow ""forced"" to ask in order to gain the attendance mark (actually students might not have so many questions to ask, without even watching the lecture videos properly and understanding the lecture content thoroughly)To summarize, I am quite disappointed about how the Zoom platform is used in this course - the platform should have been used in a MUCH better way.",x,j,f,,x j f ,Videoplay issue (lag),videos - quality,realtime,,X J F ,"Class planning, Course material, Videoplay issue","realtime, videos - quality, Videoplay issue (lag)",,,,,,,realtime,,,,,,videos - quality,,,,,,,,Videoplay issue (lag),,,
8847,The video recording was hard to follow.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
8848,"Topics too hard and hardly understand via online teaching. The online video was also unclear due to the unstable loudness of the track.Workload also too huge that students could hardly managed. It took at least 6hours for me to listen to the weekly lecture, which should only spend 3hours and never would have enough time for revision and further reading especially as a part time student with full time job. The level of difficulties of the reading list for reaction paper was also unreasonable.",j,n,M,,j n M ,course materials - reading,audio quality,workload,,J N M ,"Assignment, Course material, Clarity of delivery","workload, course materials - reading, audio quality",,,,,,,,,,workload,,,course materials - reading,,,audio quality,,,,,,,,
